pair_id,claim,doc_id,doc_title,doc_text_truncated,human_label
0,The Colorado River flows through the canyon.,14816002,Hydroelectric power in India,"Hydroelectric power in India India is the 7th largest producer of hydroelectric power in the world. As of 30 April 2017, India's installed utility-scale hydroelectric capacity was 44,594 MW, or 13.5% of its total utility power generation capacity. Additional smaller hydroelectric power units with a ",UNCLEAR
1,Mallikarjun Kharge was re-appointed to a second term in May 2018.,20970902,Standing Committee on Finance,"single transferable vote. The chairperson is appointed by the Lok Sabha speaker. The term of office of the members is one year. A minister is not eligible to become a member of the committee. If a member after his election to the committee becomes a Minister, he ceases to be a member from the date o",UNCLEAR
2,Mohammad Hamid Ansari was first elected as Vice-President in 2007.,16691000,2012 Indian vice-presidential election,2012 Indian vice-presidential election The 2012 Indian Vice-Presidential election was held on 7 August 2012 to elect Vice-President of India. Mohammad Hamid Ansari was the incumbent and the UPA candidate. The other prime candidate was the NDA's Jaswant Singh. Ansari then reelected as Vice-President.,UNCLEAR
3,The first Teenage Mutant Ninja Turtles cartoon is also known as TMNT 1987.,4542220,Teenage Mutant Ninja Turtles (1987 TV series),"Teenage Mutant Ninja Turtles (1987 TV series) Teenage Mutant Ninja Turtles (initially known as Teenage Mutant Hero Turtles in some European countries due to controversy at the time, and retroactively also known as TMNT 1987 or just TMNT '87) is an American animated television series produced by the ",SUPPORTED
4,The liver is involved in biliary excretion.,3439007,ADME,foreign substances can adversely affect normal metabolism. There are three main sites where drug excretion occurs. The kidney is the most important site and it is where products are excreted through urine. Biliary excretion or fecal excretion is the process that initiates in the liver and passes thr,SUPPORTED
5,The lyrics ask about Mary's experiences at the time of Jesus' birth.,6188536,"Mary, Did You Know?","criticize it for what they perceive as a lack of scriptural or theological depth. For example, Lutheran writer Holly Scheer, in addressing the rhetorical-question title of the song writes that those familiar with ""the biblical account of Christ’s conception and birth shouldn’t need to ask if Mary kn",SUPPORTED
6,The legends event was held at the Uniprix Stadium in Montreal in the past.,17415413,2013 Rogers Cup,"2013 Rogers Cup The 2013 Rogers Cup presented by National Bank was a tennis tournament played on outdoor hard courts. It was the 124th edition (for the men) and the 112th (for the women) of the Canadian Open, and was part of the ATP World Tour Masters 1000 of the 2013 ATP World Tour, and of the WTA ",SUPPORTED
7,Jerzy Buzek won the election with 555 votes.,118497,European Parliament,"term. The President is currently Antonio Tajani MEP of the EPP. In most countries, the protocol of the head of state comes before all others; however, in the EU the Parliament is listed as the first institution, and hence the protocol of its president comes before any other European, or national, pr",UNCLEAR
8,Janet Reno was promoting legislation to limit portrayals of violence on television.,5053556,Benjamin Stone (Law & Order character),"the visits since their father's death. She is murdered by sex traffickers in """". Stone's departure from the series stemmed from actor Michael Moriarty's dispute with the network and U.S. Attorney General Janet Reno, who in 1993 began promoting legislation to limit portrayals of violence on televisio",SUPPORTED
9,The Beatles last full concert was held at Candlestick Park.,1486181,Candlestick Park,"public as of 2017. On August 14, 2014, former Beatle Paul McCartney returned one last time to become the closing act of Candlestick Park's long history. McCartney's performance was within days of being 48 years after the Beatles played their famous last concert at Candlestick. To showcase the event,",SUPPORTED
