pair_id,example_id,model,question,answer,claim_text,matched_sentence_text,predicted_citation_doc_ids,correct
0,0,gemma-4-e4b,Who killed the man in thelma and louise?,"Based on the provided search results, there is no information regarding who killed a man in *Thelma and Louise*.",The provided search results do not contain information regarding who killed a man in *Thelma and Louise*.,"Based on the provided search results, there is no information regarding who killed a man in *Thelma and Louise*.",,1
1,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",The song 'I'm Coming Out' was recorded by Diana Ross.,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. ",,1
2,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",Diana Ross is an American singer.,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. ",,1
3,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",Bernard Edwards is a member of Chic.,"It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",doc1,1
4,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",Nile Rodgers is a member of Chic.,"It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",doc1,1
5,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",Bernard Edwards wrote the song 'I'm Coming Out'.,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. ",,0
6,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",Nile Rodgers wrote the song 'I'm Coming Out'.,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. ",,0
7,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",Bernard Edwards produced the song 'I'm Coming Out'.,"It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",doc1,1
8,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",Nile Rodgers produced the song 'I'm Coming Out'.,"It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",doc1,1
9,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].","The song 'I'm Coming Out' was released on August 22, 1980.","It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",doc1,1
10,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",The song 'I'm Coming Out' was the second single from the album 'Diana'.,"It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",doc1,1
11,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",The album 'Diana' is the tenth album by Diana Ross.,"It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",doc1,1
12,1,llama-3.1-8b,Who sang the song i'm coming out?,"The song ""I'm Coming Out"" was recorded by American singer Diana Ross. It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",The album 'Diana' was released in 1980.,"It was written and produced by Chic members Bernard Edwards and Nile Rodgers, and released in August 22, 1980 as the second single from Ross' self-titled tenth album ""Diana"" (1980) [1].",doc1,1
13,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle.,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. ",doc1,1
14,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].","The texts open with 'Paul, Silvanus, and Timothy'.","The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. ",doc1,1
15,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",The texts include Paul's personal handwriting at the end.,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. ",doc1,1
16,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",Modern scholarly debate persists regarding the authorship of these books.,"However, modern scholarly debate persists regarding their authorship. ",,1
17,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",Some scholars argue that 1 Thessalonians is authentically Pauline.,"While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. ",doc3,1
18,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",2 Thessalonians is often classified as 'Deutero-Pauline'.,"While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. ",doc3,1
19,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",2 Thessalonians was possibly written by Paul's followers after his death.,"While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. ",doc3,1
20,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",Linguistic similarities between the two letters fuel the debate.,This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. ,doc4,1
21,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",Questions about the historical context fuel the debate.,This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. ,doc4,1
22,2,qwen3-8b,Who wrote the book of 1 and 2 thessalonians?,"The books of 1 and 2 Thessalonians are traditionally attributed to Paul the Apostle [1], as the texts open with ""Paul, Silvanus, and Timothy"" and include Paul's personal handwriting at the end [1]. However, modern scholarly debate persists regarding their authorship. While some argue that 1 Thessalonians is authentically Pauline, 2 Thessalonians is often classified as ""Deutero-Pauline,"" possibly written by Paul's followers after his death [3]. This debate is fueled by linguistic similarities between the two letters and questions about their historical context [4]. Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].",The traditional view of Pauline authorship remains widely accepted.,"Despite these uncertainties, the traditional view of Pauline authorship remains widely accepted [1][5].","doc1,doc5",1
23,3,gemma-4-e4b,Who is elected as the vice president of india?,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",The Vice President of India is elected indirectly.,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",doc4,1
24,3,gemma-4-e4b,Who is elected as the vice president of india?,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",The Vice President of India is elected by an electoral college.,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",doc4,1
25,3,gemma-4-e4b,Who is elected as the vice president of india?,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",The electoral college is composed of members from both Houses of Parliament.,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",doc4,1
26,3,gemma-4-e4b,Who is elected as the vice president of india?,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",The election uses the system of Proportional Representation.,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",doc4,1
27,3,gemma-4-e4b,Who is elected as the vice president of india?,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",The election uses the system of the Single transferable vote.,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",doc4,1
28,3,gemma-4-e4b,Who is elected as the vice president of india?,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",The election process is specified in Article 66 of the Indian Constitution.,"The Vice President of India is elected indirectly by an electoral college composed of members from both Houses of Parliament, using the system of Proportional Representation by means of the Single transferable vote, as specified in Article 66 of the Indian Constitution [4].",doc4,1
